Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 10,Coverage (%) 11,Coverage (%) 12,Coverage (%) 1,Coverage (%) 2,Coverage (%) 3,Coverage (%) 4,Coverage (%) 5,Coverage (%) 6,Coverage (%) 7,Coverage (%) 8,Coverage (%) 9,Area 10_hf,Area 11_im,Area 12_if,Area 1_hm,Area 2_hf,Area 3_im,Area 4_if,Area 5_hm,Area 6_hf,Area 7_im,Area 8_if,Area 9_hm,#Peptides,#Unique,#Spec 10,#Spec 11,#Spec 12,#Spec 1,#Spec 2,#Spec 3,#Spec 4,#Spec 5,#Spec 6,#Spec 7,#Spec 8,#Spec 9,PTM,Avg. Mass,Description
832,27863,A0A444T878|A0A444T878_ARMVU,139.11,28,7,14,12,16,11,12,4,9,8,9,12,11,8.61E+02,1.31E+03,8.61E+02,1.32E+03,2.45E+03,7.19E+02,,4.14E+02,,0,8.36E+02,6.71E+02,9,3,3,9,10,10,7,5,3,5,6,2,5,8,Carbamidomethylation,44369,26S protease regulatory subunit 10B OS=Armadillidium vulgare OX=13347 GN=Avbf_11808 PE=3 SV=1
832,531,A0A0P4WGQ9|A0A0P4WGQ9_SCYOL,139.11,28,7,14,12,16,11,12,4,9,8,9,12,11,8.61E+02,1.31E+03,8.61E+02,1.32E+03,2.45E+03,7.19E+02,,4.14E+02,,0,8.36E+02,6.71E+02,9,3,3,9,10,10,7,5,3,5,6,2,5,8,Carbamidomethylation,44639,AAA domain-containing protein OS=Scylla olivacea OX=85551 PE=3 SV=1
832,530,A0A5B7EAD4|A0A5B7EAD4_PORTR,139.11,28,7,14,12,16,11,12,4,9,8,9,12,11,8.61E+02,1.31E+03,8.61E+02,1.32E+03,2.45E+03,7.19E+02,,4.14E+02,,0,8.36E+02,6.71E+02,9,3,3,9,10,10,7,5,3,5,6,2,5,8,Carbamidomethylation,44639,26S protease regulatory subunit 10B OS=Portunus trituberculatus OX=210409 GN=Psmc6 PE=3 SV=1
832,27866,A0A5N5SSJ7|A0A5N5SSJ7_9CRUS,139.11,28,7,14,12,17,11,12,4,9,9,9,12,11,8.61E+02,1.31E+03,8.61E+02,1.32E+03,2.45E+03,7.19E+02,,4.14E+02,,0,8.36E+02,6.71E+02,9,3,3,9,10,10,7,5,3,5,6,2,5,8,Carbamidomethylation,44343,26S protease regulatory subunit 10B OS=Armadillidium nasatum OX=96803 GN=Psmc6 PE=3 SV=1
832,27880,A0A423SDT6|A0A423SDT6_PENVA,139.11,29,7,14,13,17,11,12,4,9,9,9,13,12,8.61E+02,1.31E+03,8.61E+02,1.32E+03,2.45E+03,7.19E+02,,4.14E+02,,0,8.36E+02,6.71E+02,9,3,3,9,10,10,7,5,3,5,6,2,5,8,Carbamidomethylation,42793,Putative 26S protease regulatory subunit 10B OS=Penaeus vannamei OX=6689 GN=C7M84_019781 PE=3 SV=1
1281,412,D7NQT0|D7NQT0_ERISI,138.89,9,1,2,3,1,1,0,1,0,1,6,1,2,3.85E+03,2.44E+03,4.34E+03,3.48E+03,5.22E+03,,9.06E+02,,2.95E+03,1.50E+04,0,1.06E+03,9,9,2,2,4,2,3,0,1,0,2,7,1,4,Carbamidomethylation,162223,Alpha 2-macroglobulin OS=Eriocheir sinensis OX=95602 PE=2 SV=1
916,540,A0A5B7DB76|A0A5B7DB76_PORTR,138.73,27,8,8,12,4,12,23,8,9,4,14,16,8,3.61E+03,3.86E+03,2.15E+03,3.14E+02,1.07E+03,4.08E+03,3.50E+03,2.05E+03,5.41E+02,8.62E+02,7.48E+03,6.61E+02,10,9,2,5,6,3,11,10,4,3,2,4,7,3,Carbamidomethylation; Deamidation (NQ),46314,RNA-binding protein squid OS=Portunus trituberculatus OX=210409 GN=sqd_0 PE=4 SV=1
911,1083,A5X491|A5X491_OCYQU,138.69,51,43,11,18,28,26,0,18,43,18,0,26,18,2.19E+04,,1.87E+03,1.27E+04,2.85E+04,,5.46E+03,1.29E+04,5.29E+03,,1.07E+04,2.39E+03,8,3,11,1,2,14,6,0,4,11,3,0,7,2,,18034,Myosin heavy chain isoform 2 (Fragment) OS=Ocypode quadrata OX=53310 PE=2 SV=1
724,823,A0A5B7CMF4|A0A5B7CMF4_PORTR,138.64,2,1,1,1,0,1,1,0,2,1,1,1,1,1.24E+04,9.92E+03,7.46E+03,,1.11E+03,4.49E+04,,7.75E+04,7.62E+03,1.57E+04,5.72E+04,6.74E+03,8,5,12,9,7,0,6,12,0,19,4,5,12,6,,383142,Beta-1 3-glucan-binding protein OS=Portunus trituberculatus OX=210409 GN=BGBP_1 PE=4 SV=1
1217,615,A0A0P4WKV8|A0A0P4WKV8_SCYOL,138.13,23,8,6,4,0,0,11,0,9,2,2,11,0,2.28E+02,2.83E+03,1.85E+03,,,6.77E+02,,0,5.15E+02,2.58E+02,1.86E+03,,9,3,2,4,2,0,0,7,0,6,1,2,8,0,Carbamidomethylation,67894,Carboxylic ester hydrolase OS=Scylla olivacea OX=85551 PE=3 SV=1
992,579,A0A5B7DJC4|A0A5B7DJC4_PORTR,138.05,22,6,7,12,3,3,15,3,9,7,8,14,0,2.61E+03,3.07E+03,3.71E+03,9.19E+02,1.63E+02,4.94E+03,4.26E+02,3.22E+03,1.45E+03,1.40E+03,8.34E+03,,9,9,3,4,6,2,1,8,1,6,4,5,11,0,Carbamidomethylation,54498,V-type proton ATPase subunit H OS=Portunus trituberculatus OX=210409 GN=VhaSFD PE=3 SV=1
992,585,A0A0P4VT90|A0A0P4VT90_SCYOL,138.05,22,6,7,12,3,3,15,3,9,7,8,14,0,2.61E+03,3.07E+03,3.71E+03,9.19E+02,1.63E+02,4.94E+03,4.26E+02,3.22E+03,1.45E+03,1.40E+03,8.34E+03,,9,9,3,4,6,2,1,8,1,6,4,5,11,0,Carbamidomethylation,54594,V-type proton ATPase subunit H OS=Scylla olivacea OX=85551 PE=3 SV=1
1051,591,A0A0P4W5C1|A0A0P4W5C1_SCYOL,137.73,19,13,15,10,4,8,13,0,2,10,0,8,4,2.36E+03,2.14E+03,2.35E+03,5.89E+02,3.22E+02,2.47E+03,,5.51E+02,4.14E+03,,2.04E+03,,8,5,5,7,8,3,3,4,0,1,8,0,4,2,Carbamidomethylation,66218,Coronin OS=Scylla olivacea OX=85551 PE=3 SV=1
523,28094,A0A3R7SYF7|A0A3R7SYF7_PENVA,137.7,27,14,8,13,2,11,23,17,20,11,11,21,11,5.75E+03,,,,,5.06E+03,1.62E+03,5.15E+03,2.47E+02,,6.54E+03,,9,4,28,16,28,2,8,21,7,11,12,15,15,9,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),59800,CCT-alpha OS=Penaeus vannamei OX=6689 GN=C7M84_025548 PE=3 SV=1
1484,342,A0A8D4GP31|A0A8D4GP31_PORTR,137.42,3,0,0,0,0,0,1,1,0,0,1,1,0,,,3.58E+02,2.20E+02,,6.82E+02,3.77E+02,,,,3.86E+02,,9,2,0,1,1,1,0,6,4,0,0,1,5,0,Carbamidomethylation,529329,Cytoplasmic dynein heavy chain 1 OS=Portunus trituberculatus OX=210409 PE=2 SV=1
826,506,A0A0P4W491|A0A0P4W491_SCYOL,137.36,59,21,20,30,5,11,35,12,25,11,41,34,18,1.37E+04,2.26E+03,8.08E+03,,3.37E+03,2.08E+04,1.57E+03,8.67E+03,1.52E+03,1.14E+04,1.50E+04,7.07E+03,10,5,6,5,11,4,2,14,4,6,2,7,10,4,Acetylation (Protein N-term),23867,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1024,27796,A0A1P7ZDI3|A0A1P7ZDI3_CHEQU,137.35,34,6,10,12,9,3,25,6,11,6,4,17,0,1.96E+03,3.54E+03,6.30E+03,1.11E+03,8.63E+02,8.90E+03,2.04E+03,3.48E+02,2.67E+03,8.22E+02,5.33E+03,,9,6,3,7,7,6,1,7,3,4,3,2,5,0,Carbamidomethylation,49655,Clathrin-associated adaptor protein complexes mu subunit OS=Cherax quadricarinatus OX=27406 PE=2 SV=1
1024,481,A0A0P4WD23|A0A0P4WD23_SCYOL,137.35,34,6,10,12,9,3,25,6,11,6,4,17,0,1.96E+03,3.54E+03,6.30E+03,1.11E+03,8.63E+02,8.90E+03,2.04E+03,3.48E+02,2.67E+03,8.22E+02,5.33E+03,,9,6,3,7,7,6,1,7,3,4,3,2,5,0,Carbamidomethylation,49309,MHD domain-containing protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1422,662,A0A0P4WHK6|A0A0P4WHK6_SCYOL,137.07,14,0,3,3,6,0,8,4,0,3,3,4,0,,9.67E+02,1.23E+03,1.44E+03,,1.42E+03,1.65E+03,,7.04E+02,1.94E+02,1.79E+03,,8,8,0,1,3,4,0,5,3,0,1,2,3,0,Carbamidomethylation,101767,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1422,664,A0A0P4W4H6|A0A0P4W4H6_SCYOL,137.07,14,0,3,3,6,0,8,4,0,3,3,4,0,,9.67E+02,1.23E+03,1.44E+03,,1.42E+03,1.65E+03,,7.04E+02,1.94E+02,1.79E+03,,8,8,0,1,3,4,0,5,3,0,1,2,3,0,Carbamidomethylation,102292,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1422,667,A0A0P4VXX5|A0A0P4VXX5_SCYOL,137.07,14,0,3,3,7,0,8,4,0,3,3,4,0,,9.67E+02,1.23E+03,1.44E+03,,1.42E+03,1.65E+03,,7.04E+02,1.94E+02,1.79E+03,,8,8,0,1,3,4,0,5,3,0,1,2,3,0,Carbamidomethylation,96728,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1422,669,A0A0P4W6B4|A0A0P4W6B4_SCYOL,137.07,14,0,3,3,6,0,8,4,0,3,3,4,0,,9.67E+02,1.23E+03,1.44E+03,,1.42E+03,1.65E+03,,7.04E+02,1.94E+02,1.79E+03,,8,8,0,1,3,4,0,5,3,0,1,2,3,0,Carbamidomethylation,100364,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1422,668,A0A0P4W368|A0A0P4W368_SCYOL,137.07,14,0,3,3,6,0,8,4,0,3,3,4,0,,9.67E+02,1.23E+03,1.44E+03,,1.42E+03,1.65E+03,,7.04E+02,1.94E+02,1.79E+03,,8,8,0,1,3,4,0,5,3,0,1,2,3,0,Carbamidomethylation,102235,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
734,28389,A0A5P9NZE5|A0A5P9NZE5_PENVA,136.78,22,7,12,12,10,10,19,7,7,4,4,14,4,9.20E+03,1.07E+04,2.62E+04,2.11E+04,1.94E+04,3.21E+04,2.91E+04,6.64E+03,8.55E+03,1.21E+04,1.90E+04,6.59E+03,7,3,6,11,10,5,7,11,12,3,4,4,15,2,Carbamidomethylation,44263,Phosphoglycerate kinase OS=Penaeus vannamei OX=6689 PE=2 SV=1
734,28393,A0A423SCY3|A0A423SCY3_PENVA,136.78,22,7,12,12,10,10,19,7,7,4,4,14,4,9.20E+03,1.07E+04,2.62E+04,2.11E+04,1.94E+04,3.21E+04,2.91E+04,6.64E+03,8.55E+03,1.21E+04,1.90E+04,6.59E+03,7,3,6,11,10,5,7,11,12,3,4,4,15,2,Carbamidomethylation,44249,Phosphoglycerate kinase OS=Penaeus vannamei OX=6689 GN=C7M84_020149 PE=3 SV=1
655,1979,K9J9V0|K9J9V0_SCYPA,136.66,27,26,19,19,0,11,27,0,26,19,19,19,19,3.90E+03,2.79E+03,1.67E+04,,,1.62E+04,,2.00E+03,1.60E+03,1.05E+04,1.32E+04,1.49E+03,7,4,15,13,19,0,1,18,0,7,8,11,18,5,Carbamidomethylation; Deamidation (NQ),17153,Eukaryotic translation initiation factor 5A OS=Scylla paramamosain OX=85552 PE=2 SV=1
655,2163,A0A5B7E1N1|A0A5B7E1N1_PORTR,136.66,25,25,18,18,0,11,25,0,25,18,18,18,18,3.90E+03,2.79E+03,1.67E+04,,,1.62E+04,,2.00E+03,1.60E+03,1.05E+04,1.32E+04,1.49E+03,7,4,15,13,19,0,1,18,0,7,8,11,18,5,Carbamidomethylation; Deamidation (NQ),18157,Eukaryotic translation initiation factor 5A OS=Portunus trituberculatus OX=210409 GN=eIF-5A PE=3 SV=1
1035,693,A0A8F9RAK8|A0A8F9RAK8_ERISI,136.62,14,7,4,9,2,2,8,4,0,4,5,5,5,1.76E+03,7.06E+02,6.54E+03,2.02E+03,2.47E+03,3.42E+03,7.53E+03,,2.50E+03,2.91E+03,1.93E+03,1.10E+03,8,5,11,3,5,1,2,5,2,0,3,3,8,3,,73531,Trehalase OS=Eriocheir sinensis OX=95602 PE=2 SV=1
1030,28062,A0A6C0T5U0|A0A6C0T5U0_PROCL,136.37,53,12,14,17,16,12,27,6,0,7,5,34,6,7.45E+02,1.22E+03,1.53E+03,4.55E+03,1.16E+03,2.96E+03,3.52E+03,,,2.22E+02,2.49E+03,1.02E+03,8,7,2,2,4,6,2,7,3,0,1,5,13,2,Carbamidomethylation; Deamidation (NQ),35581,Serine/threonine-protein phosphatase (Fragment) OS=Procambarus clarkii OX=6728 GN=Ppp2cb PE=2 SV=1
1030,620,A0A5B7DLN6|A0A5B7DLN6_PORTR,136.37,53,12,14,17,16,12,27,6,0,7,5,34,6,7.45E+02,1.22E+03,1.53E+03,4.55E+03,1.16E+03,2.96E+03,3.52E+03,,,2.22E+02,2.49E+03,1.02E+03,8,7,2,2,4,6,2,7,3,0,1,5,13,2,Carbamidomethylation; Deamidation (NQ),35609,Serine/threonine-protein phosphatase OS=Portunus trituberculatus OX=210409 GN=PPP2CA PE=3 SV=1
1030,621,A0A0P4VY43|A0A0P4VY43_SCYOL,136.37,53,12,14,17,16,12,27,6,0,7,5,34,6,7.45E+02,1.22E+03,1.53E+03,4.55E+03,1.16E+03,2.96E+03,3.52E+03,,,2.22E+02,2.49E+03,1.02E+03,8,7,2,2,4,6,2,7,3,0,1,5,13,2,Carbamidomethylation; Deamidation (NQ),35609,Serine/threonine-protein phosphatase OS=Scylla olivacea OX=85551 PE=3 SV=1
1030,28063,A0A345AH83|A0A345AH83_HOMAM,136.37,53,12,14,17,16,12,27,6,0,7,5,34,6,7.45E+02,1.22E+03,1.53E+03,4.55E+03,1.16E+03,2.96E+03,3.52E+03,,,2.22E+02,2.49E+03,1.02E+03,8,7,2,2,4,6,2,7,3,0,1,5,13,2,Carbamidomethylation; Deamidation (NQ),35581,Serine/threonine-protein phosphatase OS=Homarus americanus OX=6706 PE=2 SV=1
838,28218,A0A423SYM7|A0A423SYM7_PENVA,135.94,20,12,12,12,10,7,14,8,5,6,11,14,7,1.72E+03,1.78E+03,1.52E+03,2.33E+03,1.75E+03,2.65E+03,,,,,1.33E+03,1.13E+03,9,2,6,6,7,5,2,9,4,4,5,10,10,3,,52057,Citrate synthase OS=Penaeus vannamei OX=6689 GN=C7M84_012693 PE=3 SV=1
820,471,J9PCH1|J9PCH1_ERISI,135.92,14,2,7,4,2,3,5,8,0,2,10,3,3,1.93E+03,1.34E+04,2.15E+03,5.83E+02,2.99E+03,2.98E+03,1.32E+04,,3.79E+03,6.43E+03,8.26E+02,7.06E+02,9,8,6,12,5,4,6,9,9,0,5,11,3,5,Carbamidomethylation,85277,Transglutaminase OS=Eriocheir sinensis OX=95602 PE=2 SV=1
550,612,A0A0P4VPJ3|A0A0P4VPJ3_SCYOL,135.74,18,5,6,5,0,3,12,2,6,3,5,9,3,3.15E+04,2.95E+04,2.17E+04,,1.15E+03,2.84E+04,6.47E+02,3.19E+04,9.68E+03,6.63E+03,6.20E+04,4.36E+03,8,7,14,13,11,0,7,19,1,31,13,7,27,11,Deamidation (NQ),60890,Phosphoglucomutase (alpha-D-glucose-1 6-bisphosphate-dependent) OS=Scylla olivacea OX=85551 PE=3 SV=1
1080,452,A0A4Y5URS7|A0A4Y5URS7_ERISI,135.01,16,3,7,5,0,2,3,0,2,7,3,13,5,2.86E+03,5.83E+03,6.75E+03,,1.05E+03,5.70E+02,,6.44E+02,2.28E+03,5.90E+02,1.11E+04,1.82E+03,9,9,4,8,8,0,3,1,0,1,6,1,8,2,,98365,Citrate hydro-lyase OS=Eriocheir sinensis OX=95602 GN=IRP PE=2 SV=1
813,28412,Q8IAE0|Q8IAE0_PROCL,134.63,42,29,14,29,35,35,14,41,28,35,28,29,29,7.88E+02,,3.76E+03,1.56E+04,8.01E+03,,1.97E+04,2.93E+02,8.90E+03,1.69E+03,2.98E+02,3.59E+03,7,2,5,4,6,10,5,7,11,5,6,4,5,8,Carbamidomethylation,22845,Synaptosomal-associated protein OS=Procambarus clarkii OX=6728 GN=SNAP25 PE=2 SV=1
935,848,A0A5B7EIK3|A0A5B7EIK3_PORTR,133.93,15,11,8,10,6,8,11,10,5,5,2,8,6,1.01E+04,3.89E+03,5.42E+03,3.06E+03,3.55E+03,1.49E+04,6.95E+03,2.47E+03,1.79E+03,2.16E+03,1.03E+04,2.67E+03,7,7,7,6,4,3,7,10,6,3,2,1,6,4,,65353,Protein ROP OS=Portunus trituberculatus OX=210409 GN=Rop PE=3 SV=1
481,28400,A0A553NB20|A0A553NB20_TIGCA,133.88,30,16,28,22,4,10,17,18,16,18,15,30,10,,2.59E+03,6.38E+02,,,5.88E+02,,,4.92E+02,5.85E+04,7.13E+03,,8,2,13,29,19,11,14,7,25,7,31,22,16,7,Carbamidomethylation; Deamidation (NQ),42084,Uncharacterized protein OS=Tigriopus californicus OX=6832 GN=TCAL_00470 PE=3 SV=1
816,1112,A0A2S1TY87|A0A2S1TY87_ERISI,133.61,26,12,11,21,19,14,16,12,16,8,8,11,11,1.76E+04,2.19E+04,2.48E+04,2.53E+04,1.16E+04,1.97E+04,1.17E+04,1.23E+04,5.46E+03,1.58E+04,1.04E+04,1.60E+04,7,7,5,5,11,9,6,5,5,8,4,6,7,5,Carbamidomethylation,41658,Cathepsin D OS=Eriocheir sinensis OX=95602 GN=catD PE=2 SV=1
960,28733,A0A423SNS5|A0A423SNS5_PENVA,133.22,35,9,11,27,16,16,9,24,0,11,9,9,15,3.31E+03,3.03E+03,1.07E+04,1.17E+04,2.59E+03,3.95E+02,1.72E+04,,1.52E+03,4.34E+02,5.34E+02,2.03E+03,8,8,5,4,5,8,7,7,12,0,2,1,1,3,,21989,Putative Ca2+ sensor OS=Penaeus vannamei OX=6689 GN=C7M84_016142 PE=4 SV=1
960,1328,A0A0P4W9R7|A0A0P4W9R7_SCYOL,133.22,35,9,11,27,16,16,9,24,0,11,9,9,15,3.31E+03,3.03E+03,1.07E+04,1.17E+04,2.59E+03,3.95E+02,1.72E+04,,1.52E+03,4.34E+02,5.34E+02,2.03E+03,8,8,5,4,5,8,7,7,12,0,2,1,1,3,,21989,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1072,1092,A0A5B7CW49|A0A5B7CW49_PORTR,132.88,54,27,27,21,6,0,43,0,16,0,26,54,11,8.91E+02,1.14E+03,1.02E+03,1.61E+02,,1.00E+04,,7.00E+02,,8.44E+02,6.44E+03,3.76E+02,8,8,4,3,2,1,0,11,0,5,0,2,13,2,,20164,ADP-ribosylation factor-like protein 3 OS=Portunus trituberculatus OX=210409 GN=ARL3 PE=3 SV=1
1432,28763,A0A3R7LRB3|A0A3R7LRB3_PENVA,132.69,50,0,0,13,20,7,6,44,0,0,13,6,0,,,1.62E+02,2.51E+03,8.74E+02,,1.49E+04,,,3.72E+02,,,8,6,0,0,3,4,1,1,9,0,0,3,1,0,Carbamidomethylation,19987,Uncharacterized protein OS=Penaeus vannamei OX=6689 GN=C7M84_019804 PE=4 SV=1
1235,746,J9PD11|J9PD11_ERISI,132.34,13,3,3,2,2,0,7,0,3,0,7,10,0,2.79E+02,6.22E+02,5.16E+02,6.01E+03,,9.48E+03,,1.71E+03,,7.58E+03,9.79E+03,,7,7,1,1,1,4,0,8,0,2,0,6,8,0,Carbamidomethylation,85225,Peroxinectin OS=Eriocheir sinensis OX=95602 PE=2 SV=1
930,1069,A0A0P4WE47|A0A0P4WE47_SCYOL,132.12,22,12,15,16,3,3,22,3,8,4,8,15,7,9.73E+03,7.90E+03,7.06E+03,1.26E+03,2.11E+03,8.61E+03,6.03E+03,2.14E+03,6.76E+02,2.97E+03,8.76E+03,4.38E+03,7,7,4,11,7,1,1,13,2,2,2,2,9,5,Carbamidomethylation,38574,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
930,1094,A0A0P4W8P6|A0A0P4W8P6_SCYOL,132.12,23,12,15,16,3,3,23,3,8,4,8,15,7,9.73E+03,7.90E+03,7.06E+03,1.26E+03,2.11E+03,8.61E+03,6.03E+03,2.14E+03,6.76E+02,2.97E+03,8.76E+03,4.38E+03,7,7,4,11,7,1,1,13,2,2,2,2,9,5,Carbamidomethylation,37688,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
703,840,A0A0P4WGN6|A0A0P4WGN6_SCYOL,131.46,31,17,13,10,18,10,20,15,10,10,10,23,17,1.04E+04,1.47E+04,1.30E+04,6.38E+03,2.65E+03,1.69E+04,4.82E+03,5.11E+03,5.37E+03,1.37E+03,2.20E+04,5.61E+03,7,7,12,7,5,15,3,10,8,5,9,3,10,9,,37555,Inorganic diphosphatase OS=Scylla olivacea OX=85551 PE=3 SV=1
794,696,A0A0P4W999|A0A0P4W999_SCYOL,131.37,28,15,24,27,3,15,28,13,4,9,21,15,15,2.42E+03,3.20E+03,7.99E+03,9.14E+02,2.71E+03,5.02E+03,3.41E+03,1.36E+03,3.37E+03,3.25E+03,3.06E+03,3.39E+03,7,7,3,6,15,2,4,17,8,1,6,5,6,7,Carbamidomethylation; Deamidation (NQ),42553,Septin OS=Scylla olivacea OX=85551 PE=3 SV=1
794,805,A0A5B7DH25|A0A5B7DH25_PORTR,131.37,29,16,25,28,4,16,29,13,4,9,22,16,16,2.42E+03,3.20E+03,7.99E+03,9.14E+02,2.71E+03,5.02E+03,3.41E+03,1.36E+03,3.37E+03,3.25E+03,3.06E+03,3.39E+03,7,7,3,6,15,2,4,17,8,1,6,5,6,7,Carbamidomethylation; Deamidation (NQ),40459,Septin OS=Portunus trituberculatus OX=210409 GN=Sep1 PE=3 SV=1
993,28074,A0A2P1JJ64|A0A2P1JJ64_PROCL,131.23,20,11,7,14,5,3,8,5,5,5,5,14,5,0,3.09E+02,3.97E+02,,,3.43E+03,,,,6.12E+02,5.55E+03,,7,4,6,5,5,5,2,6,3,2,2,4,9,3,Carbamidomethylation,50123,IDP (Fragment) OS=Procambarus clarkii OX=6728 GN=Idh PE=2 SV=1
906,28890,A0A6A4W3G7|A0A6A4W3G7_AMPAM,130.99,9,2,6,9,4,2,7,6,2,0,6,9,2,,1.34E+03,1.14E+03,,,3.72E+03,7.83E+03,,,1.02E+03,2.57E+03,,8,2,3,8,4,6,2,6,9,1,0,8,13,1,,72116,Endoplasmic reticulum chaperone BiP OS=Amphibalanus amphitrite OX=1232801 GN=Hspa5_1 PE=3 SV=1
1028,28080,A0A3R7MW78|A0A3R7MW78_PENVA,130.87,56,12,20,12,4,4,36,10,4,4,12,45,12,3.29E+03,6.04E+03,1.10E+04,1.05E+04,6.74E+03,1.81E+04,9.48E+03,2.69E+03,1.07E+03,8.16E+03,1.39E+04,4.16E+03,8,6,3,5,4,2,2,9,2,1,1,3,11,4,Carbamidomethylation,28164,ADP-ribosylation factor 1 OS=Penaeus vannamei OX=6689 GN=C7M84_010492 PE=3 SV=1
1028,28312,A0A8B7NFL9|A0A8B7NFL9_HYAAZ,130.87,77,16,28,16,5,5,49,14,5,5,16,61,16,3.29E+03,6.04E+03,1.10E+04,1.05E+04,6.74E+03,1.81E+04,9.48E+03,2.69E+03,1.07E+03,8.16E+03,1.39E+04,4.16E+03,8,6,3,5,4,2,2,9,2,1,1,3,11,4,Carbamidomethylation,20702,ADP-ribosylation factor 1 OS=Hyalella azteca OX=294128 GN=LOC108669417 PE=4 SV=1
1028,28313,D5I1P3|D5I1P3_PENJP,130.87,77,16,28,16,5,5,49,14,5,5,16,61,16,3.29E+03,6.04E+03,1.10E+04,1.05E+04,6.74E+03,1.81E+04,9.48E+03,2.69E+03,1.07E+03,8.16E+03,1.39E+04,4.16E+03,8,6,3,5,4,2,2,9,2,1,1,3,11,4,Carbamidomethylation,20702,ADP-ribosylation factor 1 OS=Penaeus japonicus OX=27405 GN=Arf1 PE=2 SV=1
1028,28314,A0A6A7FP04|A0A6A7FP04_9CRUS,130.87,72,15,26,15,5,5,46,13,5,5,15,57,15,3.29E+03,6.04E+03,1.10E+04,1.05E+04,6.74E+03,1.81E+04,9.48E+03,2.69E+03,1.07E+03,8.16E+03,1.39E+04,4.16E+03,8,6,3,5,4,2,2,9,2,1,1,3,11,4,Carbamidomethylation,22355,ADP-ribosylation factor 1 (Fragment) OS=Hirondellea gigas OX=1518452 PE=2 SV=1
1110,28680,A0A0B4UBV8|A0A0B4UBV8_MACRS,130.44,42,6,5,19,13,0,15,5,12,13,6,21,5,1.05E+03,,7.85E+02,,,,,0,,0,1.13E+03,,8,2,3,3,7,6,0,5,3,4,3,1,5,1,Carbamidomethylation,22623,Rab1A OS=Macrobrachium rosenbergii OX=79674 PE=2 SV=1
1110,1206,A0A0N7ZCD7|A0A0N7ZCD7_SCYOL,130.44,42,6,5,19,13,0,15,5,12,13,6,21,5,1.05E+03,,7.85E+02,,,,,0,,0,1.13E+03,,8,2,3,3,7,6,0,5,3,4,3,1,5,1,Carbamidomethylation,22986,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1378,846,A0A6M8PX81|A0A6M8PX81_ERISI,130.21,13,2,4,5,0,0,8,0,3,0,0,6,0,1.61E+02,7.15E+02,1.90E+03,,,4.30E+03,,0,,,3.00E+03,,6,6,1,3,5,0,0,8,0,1,0,0,6,0,,89373,Armadillo segment polarity protein OS=Eriocheir sinensis OX=95602 PE=2 SV=1
537,1600,A0A5B7FJG3|A0A5B7FJG3_PORTR,130,65,64,36,36,36,36,65,34,36,36,36,36,36,4.43E+04,4.48E+04,9.46E+04,8.59E+04,6.03E+04,7.80E+04,7.02E+04,2.68E+04,7.71E+04,3.98E+04,4.60E+04,4.95E+04,8,8,13,15,11,14,15,21,9,10,20,10,13,9,Acetylation (Protein N-term),10104,Acyl-CoA-binding OS=Portunus trituberculatus OX=210409 GN=ACBP PE=4 SV=1
1185,1048,A0A0P4X1B6|A0A0P4X1B6_SCYOL,129.86,27,5,0,16,10,11,12,5,6,6,11,11,6,1.79E+02,,6.27E+03,1.04E+03,2.46E+03,6.04E+03,2.29E+03,6.62E+02,1.38E+03,4.34E+03,2.60E+03,3.42E+03,7,7,1,0,5,3,2,5,5,1,1,5,4,2,Carbamidomethylation,31057,Proteasome subunit alpha type OS=Scylla olivacea OX=85551 PE=3 SV=1
1119,493,A0A6S4HKC6|A0A6S4HKC6_ERISI,129.82,24,15,5,11,0,3,10,0,5,1,0,14,3,3.16E+03,1.72E+03,2.63E+03,,1.68E+03,1.06E+04,,2.90E+03,,,2.80E+03,2.73E+02,8,6,7,3,9,0,1,8,0,2,1,0,7,1,Carbamidomethylation,79233,Glycogen [starch] synthase OS=Eriocheir sinensis OX=95602 PE=2 SV=1
1288,789,A0A4Y1NA53|A0A4Y1NA53_PORTR,129.73,27,9,7,5,3,3,20,0,3,3,8,17,0,1.65E+03,1.14E+03,4.84E+03,1.08E+03,1.84E+03,7.42E+03,,3.90E+02,1.33E+03,4.15E+03,5.18E+03,,7,6,3,2,2,2,1,7,0,1,1,2,7,0,Carbamidomethylation; Deamidation (NQ),52737,6-phosphogluconate dehydrogenase  decarboxylating (Fragment) OS=Portunus trituberculatus OX=210409 PE=2 SV=1
